COD,HA
1,3.39
2,5.73
3,59.59
4,1.63
5,11.24
6,28.84
7,5.36
8,2.8600000000000003
9,14.28
10,2.41
11,2.92
12,5.4
13,3.17
14,2.79
15,1.72
16,4.93
17,33.75
18,4.27
19,2.0300000000000002
20,34.5
21,1.49
22,5.47
23,1.63
24,4.91
25,2.73
26,1.49
27,6.08
28,4.1
29,1.62
30,7.63
31,35.04
32,8.8
33,2.0300000000000002
34,6.67
35,1.49
36,1.56
37,3.86
38,4.890000000000001
39,14.09
40,2.21
41,2.35
42,4.57
43,1.99
44,1.49
45,3.57
46,1.63
47,1.7
48,3.38
49,2.1399999999999997
50,5.18
51,4.88
52,3.09
53,1.49
54,6.76
55,1.6400000000000001
56,1.62
57,19.89
58,10.3
59,1.63
60,1.69
61,12.69
62,5.95
63,1.49
64,2.9299999999999997
65,1.63
66,3.06
67,5.92
68,1.49
69,1.77
70,1.49
71,1.81
72,2.19
73,1.56
74,4.37
75,2.62
76,10.5
77,1.92
78,1.49
79,1.63
80,1.94
81,1.87
82,20.88
83,1.49
84,6.48
85,1.92
86,1.78
87,11.97
88,2.19
89,4.27
90,4.24
91,26.45
92,12.34
93,1.63
94,2.19
95,1.7
96,2.25
97,6.61
98,1.8599999999999999
99,2.3600000000000003
100,2.59
101,9.06
102,1.81
103,5.68
104,4.76
105,5.24
106,4.91
107,1.76
108,51.77
109,1.63
110,4.71
111,1.56
112,1.56
113,1.71
114,2.8
115,7.33
116,2.24
117,4.29
118,1.73
119,3.93
120,10.54
121,1.56
122,1.49
123,7.3
124,2.9299999999999997
125,1.56
126,2.1100000000000003
127,3.53
128,11.1
129,4.55
130,10.44
131,15.94
132,5.64
133,13.12
134,1.56
135,9.87
136,5.54
137,21.07
138,4.3100000000000005
139,2.34
140,9.04
141,1.99
142,2.1399999999999997
143,3.37
144,3.4
145,2.02
146,3.76
147,3.12
148,24.47
149,6.24
150,1.56
151,2.04
152,1.63
153,3.28
154,10.45
155,1.49
156,1.49
157,1.49
158,1.49
159,5.31
160,1.63
161,3.76
162,2.27
163,5.53
164,7.79
165,3.5
166,70.22
167,2.04
168,4.96
169,2.0
170,2.0700000000000003
171,1.56
172,1.79
173,1.78
174,1.63
175,3.54
176,1.83
177,1.7
178,1.99
179,3.12
180,1.97
181,1.49
182,12.28
183,2.5
184,1.71
185,5.64
186,2.1
187,1.49
188,2.13
189,2.1799999999999997
190,11.95
191,4.16
192,2.29
193,2.0
194,4.34
195,1.49
196,1.9100000000000001
197,9.42
198,2.7
199,2.17
200,77.3
201,3.97
202,4.18
203,5.95
204,106.57
205,1.49
206,1.8
207,8.55
208,5.34
209,2.48
210,1.56
211,3.75
212,3.62
213,1.7
214,1.9
215,2.38
216,1.96
217,4.49
218,5.78
219,8.76
220,1.56
221,4.24
222,2.83
223,7.92
224,3.1
225,2.62
226,2.5700000000000003
227,17.82
228,1.98
229,3.65
230,2.34
231,3.61
232,4.48
233,1.63
234,4.4
235,4.93
236,6.09
237,3.55
238,1.49
239,3.81
240,4.51
241,2.66
242,2.06
243,3.07
244,2.05
245,13.49
246,1.49
247,124.83
248,2.33
249,3.08
250,1.8900000000000001
251,2.21
252,7.35
253,8.219999999999999
254,50.79
255,3.22
256,89.07
257,1.49
258,25.33
259,1.76
260,1.49
261,2.74
262,1.49
263,1.95
264,298.63
265,1.63
266,1.56
267,2.2199999999999998
268,1.49
269,1.63
270,1.49
271,1.63
